email,email_domain,country,employee_number,job_title,industry,content_engagement,purchase_history,previous_interactions
langbrian@ross.com,ross.com,Brunei Darussalam,4534,Housing manager/officer,Group,70,Medium,3
gerickson@gmail.com,gmail.com,United States Virgin Islands,2224,Production engineer,PLC,41,Medium,20
katherine74@randall.net,randall.net,Antarctica (the territory South of 60 deg S),842,Health visitor,Inc,80,None,11
morrisonangela@rodriguez-stokes.com,rodriguez-stokes.com,French Southern Territories,4486,Dance movement psychotherapist,Group,12,High,17
znguyen@knight.com,knight.com,Germany,207,Biomedical scientist,and Sons,93,High,11
suttonrobert@yahoo.com,yahoo.com,Russian Federation,2332,Clinical biochemist,Group,48,Low,17
kidddenise@dunn.com,dunn.com,United States of America,881,General practice doctor,Group,80,Low,8
haroldreyes@smith.com,smith.com,Paraguay,4430,Data processing manager,Inc,77,None,5
tanyabowers@aguirre-patton.com,aguirre-patton.com,Malta,2037,Interior and spatial designer,Group,89,None,2
john10@gmail.com,gmail.com,Thailand,2277,Patent attorney,PLC,83,Low,2
samuel43@white.org,white.org,Albania,1736,Sports administrator,Inc,76,None,4
williamphillips@gmail.com,gmail.com,American Samoa,1329,"Programmer, multimedia",Group,52,High,13
robert33@meyer-ward.com,meyer-ward.com,Saint Kitts and Nevis,2021,Holiday representative,PLC,6,High,15
trevinolarry@yahoo.com,yahoo.com,Equatorial Guinea,1672,"Accountant, chartered management",LLC,21,None,7
wyatt52@yahoo.com,yahoo.com,Uruguay,2192,Animal nutritionist,LLC,36,Low,19
lfox@mercer.org,mercer.org,Saint Pierre and Miquelon,4817,Administrator,Ltd,2,None,15
imartin@lopez.org,lopez.org,Wallis and Futuna,69,"Engineer, mining",and Sons,31,Low,16
srobertson@hotmail.com,hotmail.com,United Kingdom,1999,Housing manager/officer,Inc,30,Medium,12
mossdouglas@parks-hamilton.com,parks-hamilton.com,Christmas Island,4670,Art therapist,Inc,98,None,17
alexis78@martinez.com,martinez.com,South Georgia and the South Sandwich Islands,4644,"Accountant, chartered management",Group,24,Medium,10
wvega@perkins.info,perkins.info,Brazil,1301,"Solicitor, Scotland",PLC,84,Low,20
edwardsalicia@jordan.com,jordan.com,Tajikistan,4080,Maintenance engineer,LLC,68,Low,15
isaacsmith@carter.org,carter.org,Lao People's Democratic Republic,4085,Armed forces training and education officer,and Sons,70,None,4
christopherbutler@yahoo.com,yahoo.com,Antigua and Barbuda,60,Training and development officer,Group,94,High,1
wwilliams@yahoo.com,yahoo.com,Guernsey,499,Lawyer,Inc,13,High,4
efrancis@yahoo.com,yahoo.com,Norway,3460,Public librarian,LLC,0,Low,11
erikwall@hoover.com,hoover.com,Saudi Arabia,2198,"Engineer, drilling",LLC,67,None,7
davismeghan@hotmail.com,hotmail.com,Malawi,3276,Operational investment banker,and Sons,16,High,11
stephenkoch@ferguson.info,ferguson.info,Pitcairn Islands,3038,Higher education careers adviser,Ltd,40,None,18
maxwelllindsay@gmail.com,gmail.com,Sudan,4684,Scientific laboratory technician,Group,73,Medium,13
egrant@shields.com,shields.com,Barbados,1822,Social worker,Inc,27,Medium,17
hamiltonfelicia@freeman.net,freeman.net,Macao,2644,Contractor,LLC,84,None,15
lindsey99@little.com,little.com,Libyan Arab Jamahiriya,1969,Museum/gallery curator,Inc,35,None,0
lucascharles@yahoo.com,yahoo.com,Cyprus,3243,Diagnostic radiographer,Group,71,None,8
amandacortez@taylor.net,taylor.net,Nicaragua,220,"Education officer, environmental",and Sons,39,High,9
jacobharding@gmail.com,gmail.com,Uzbekistan,422,"Buyer, industrial",and Sons,80,Medium,10
sboone@gmail.com,gmail.com,Brunei Darussalam,2416,Water engineer,Inc,57,Medium,15
stricklandnatalie@torres.com,torres.com,Mali,4671,Office manager,PLC,16,Medium,20
iancherry@yahoo.com,yahoo.com,Cape Verde,4823,Senior tax professional/tax inspector,and Sons,74,None,9
pacemary@ibarra.com,ibarra.com,Ghana,4979,"Scientist, research (life sciences)",and Sons,25,Low,14
melaniejones@williams-chang.org,williams-chang.org,Saint Barthelemy,2072,Corporate treasurer,Inc,53,None,9
howetroy@hotmail.com,hotmail.com,Senegal,31,Recycling officer,LLC,9,Medium,7
qhamilton@carpenter.com,carpenter.com,Norway,1609,"Biochemist, clinical",and Sons,16,None,14
bcole@wright-hoffman.biz,wright-hoffman.biz,Costa Rica,827,"Restaurant manager, fast food",Ltd,87,Low,4
vickiemartin@miller.biz,miller.biz,Lao People's Democratic Republic,4119,Travel agency manager,PLC,86,High,0
brooke88@gmail.com,gmail.com,Bahrain,1745,"Teacher, secondary school",Group,61,High,11
michellestokes@gmail.com,gmail.com,Denmark,3182,Microbiologist,LLC,53,Medium,3
martinezronald@hotmail.com,hotmail.com,Barbados,1263,Hydrologist,Ltd,94,Low,20
